job_title,job_date,job_desc,job_tasks,comp_name,comp_no,comp_type,comp_size,eco_activity,qualif,region,city,benefits,contract,positions,job_post_id,exper,gender
ميكانيكي تدفئة وتهوية وتكييف,03/05/1444,['فحص نظم تمديدات التدفئة والتهوية وتكييف الهواء وصيانتها وتصليحها.'],"['   تركيب مكونات نظم التدفئة والتهوية وتكييف الهواء.', '  تركيب الأنابيب وضبط وربط الأنابيب ليتم تركيبها.', '  أداء عمليات التفتيش الروتينية كجزء من عملية الصيانة الوقائية، وتحديد الأضرار التي لحقت بالمعدات.', '  تصليح الأجزاء التالفة أو البالية واستبدالها، واختبار المعدات بعد تصليحها.', '  حفظ السجلات الخاصة بخدمات المعدات وتصليحها.', '  ']",شركة مجموعة الفارس التجارية (شركة شخص واحد),11-1546164,خاص,كبيرة,أنشطة خدمات صيانة المباني,"['Professional certificate \\ License data', 'هيئة المهندسين', 'ضروري']",عسير,ABHA...,"['Salary', '5700.0']",دوام كامل,0 / 1,20202026311420,2 Years,both
فني كهربائي شبكات توزيع أرضية,03/05/1444,['دراسة المخططات التنفيذية لتمديد وتوصيل شبكات التوزيع الأرضية وتقدير كميات المواد والأجهزة اللازمة بالإضافة إلى متابعة تنفيذ برامج أعمال تمديد وتوصيل الكابلات وتحديد مواقع الأعطال و الوصلات، و تأريض و استعزال الكابلات.'],"['   دراسة المخططات التنفيذية لتمديد و توصيل شبكات التوزيع الأرضية أو الكابلات.', '  تقدير كميات المواد و الأجهزة اللازمة و مطابقة مواصفاتها و متابعة تأمين المواد و الأدوات و المعدات اللازمة لتنفيذ الأعمال.', '  متابعة تنفيذ برامج أعمال تمديد و توصيل الكابلات و توزيع المهام على فرق العمل و متابعة التنسيق مع الجهات الهندسية الأخرى.', '  الكشف على مسار الكابلات و متابعة أعمال الحفر و تمديد و طمر الكابلات بالإضافة إلى متابعة إجراء وصلات الكابلات و وصل نهايات الكابلات مع عناصر منظومة التوزيع المختلفة.', '  متابعة تحديد مواقع الأعطال و الوصلات، و تأريض و استعزال الكابلات و تشخيص أعطالها و متابعة إجراءات إصلاحها.', '  ']",شركة مجموعة الفارس التجارية (شركة شخص واحد),11-1546164,خاص,كبيرة,أنشطة خدمات صيانة المباني,"['Professional certificate \\ License data', 'شهادة تنصيف هيئة المهندسين ', 'ضروري']",عسير,ABHA...,"['Salary', '5700.0']",دوام كامل,0 / 1,20202026311413,2 Years,both
كاتب اتصال,03/05/1444,['الاجابة عن استفسارات المتصلين، وإرسال البرقيات ورسائل الفاكس والتبليغ عن أعطال أجهزة الاتصال'],"['   استقبال كافة المكالمات الداخلية والخارجية والإجابة عن استفسارات المتصلين وفقاً لصلاحيته وتقديم المعلومات عن أرقام الهواتف والعناوين عند السؤال عنها.', '  إجراء المكالمات الهاتفية و إرسال البرقيات ورسائل الفاكس وفقا للتوجيهات والتعليمات المختلفة.', '  التبليغ عن الأجهزة والهواتف والخطوط المعطلة بهدف استبدالها أو صيانتها بأسرع وقت ممكن.', '  الالتزام التام بالأدلة الإجرائية وبالسياسات والإجراءات المنظمة لأعمال الاتصالات المختلفة والتقيد بها.', '  رفع التقارير الفنية للإدارة حول سير العمل وتوضيح الصعوبات و التحديات التي تعيقه.', '  ']",شركة مجموعة الفارس التجارية (شركة شخص واحد),11-1546164,خاص,كبيرة,أنشطة خدمات صيانة المباني,nan,عسير,ABHA...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026311402,0 Years,both
أخصائي خدمة عملاء,03/05/1444,['وضع وتحديد مؤشرات ومعايير الأداء والجودة في خدمة العملاء، والمشاركة في وضع وتحديث إجراءات وأدلة خدمة العملاء وتطوير برامج لتعظيم جودة ومهنية أنظمة خدمة العملاء، وتحديد نقاط القوة والضعف في أنظمة خدمة العملاء ورضاهم وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال خدمة العملاء وعرضها وحفظها.'],"['   إجراء الدراسات والتحاليل المتخصصة بهدف وضع وتحديد مؤشرات الأداء الرئيسية ومعايير الأداء والجودة في خدمة العملاء بالتنسيق مع إدارة الجودة، وضمان المتابعة المستمرة لها لضمان سير العمل بالشكل المطلوب.', '  المشاركة في وضع وتحديث إجراءات وأدلة خدمة العملاء بأنواعهم وتفاصيل الاتصال بهم واستلام والرد على طلباتهم واستفساراتهم بفعالية وكفاءة ومهنية والتنسيق مع الإدارات المعنية في هذا الخصوص.', '  تطوير برامج متقدمة ومبادرات إبداعية وضمان تحقيق ما يفوق توقعات واحتياجات المتعاملين من ناحية جودة ومهنية أنظمة خدمة العملاء بهدف بناء نموذج متكامل لخدمة العملاء.', '  تحليل المعلومات والبيانات بهدف تحديد نقاط القوة والضعف في أنظمة خدمة العملاء وتحليل نتائج تقييم رضا العملاء وتحديد الأنماط التكرارية لمحتوى الشكأوى والثغرات ووضع الخطط لمعالجة وسد الثغرات.', '  إعداد الوثائق والتقارير المتخصصة والمتعلقة بخدمة العملاء وتقديم التوصيات المناسبة والحلول الملائمة وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة ابداعنا يختلف للخدمات التجارية (شركة شخص واحد),9-2070227,خاص,متوسطة فئة ب,تقديم خدمات تسويقية نيابةً عن الغير,"['Skill data', 'الاقناع', 'محترف', 'مهارات التواصل', 'محترف', 'Language data', 'الانجليزية', 'محترف']",مكة المكرمة,JEDDAH...,"['Salary', '5500.0']",دوام كامل,0 / 4,20202026311395,2 Years,F
أخصائي تمريض,03/05/1444,['إعداد خطة الرعاية التمريضية ومتابعة تنفيذها وتقييمها، وأخذ العلامات الحيوية والعينات اللازمة لإجراء الفحوص المخبرية، وإعطاء الأدوية والعقاقير والمواد الصيدلانية بحسب تعليمات الطبيب المعالج، وتوثيق الإجراءات والأنشطة التمريضية المقدمة للمريض في السجل الطبي'],"['   تقييم الوضع الصحي للمريض وجمع البيانات من المريض وذويه وتوثيقها وتحليلها، وتحديد احتياجات المريض من الرعاية، وإعداد خطة الرعاية التمريضية ومتابعة تنفيذها وتقييم نتائجها', '  أخذ العلامات الحيوية للمريض وعينات الدم والبول والبراز من المريض لإجراء الفحوصات المخبرية بحسب تعليمات الطبيب المعالج ومتابعة إرسالها للمختبر والحصول على النتائج وإعلام الطبيب المعالج', '  إعطاء الأدوية والعقاقير الطبية والمحاليل الوريدية بحسب تعليمات الطبيب المعالج والمشاركة في عملية الإنعاش القلبي والرئوي', '  تطوير أساليب وإجراءات العمل ومواكبة التطورات في أساليب التمريض والرعاية التمريضية', '  توثيق الإجراءات والأنشطة التمريضية المقدمة للمريض في السجل الطبي وضمان تطبيق مبادئ وقواعد السلامة العامة أثناء القيام بمختلف أعمال وعمليات التمريض', '  ']",مجمع الهلال الفضي الطبي العام,15-1500,خاص,صغيرة فئة ب,الخدمات الطبية بالمصحات المتخصصة ومراكز إعادة التأهيل والصحة الوقائية,nan,المنطقة الشرقية,ATH THUQB...,"['Salary', '6000.0']",دوام كامل,0 / 3,20202026311331,0 Years,F
فني أشعة,03/05/1444,['تجهيز معدات التصوير بالأشعة السينية، وإعداد المريض للتصوير بالأشعة السينية بحسب طلب التصوير من الطبيب المعالج وتشغيل أجهزة التصوير بالأشعة واستخراج الصورة وطباعتها، وإعداد وتقديم تقارير العمل.'],"['   تفقد أجهزة التصوير بالأشعة السينية، وتأمين ومراقبة مستلزمات التصوير مثل الأفلام والأدوية، واتخاذ إجراءات الوقاية الشخصية، وتنظيم المواعيد.', '  مرافقة المرضى إلى غرفة التصوير بالأشعة وتحديد أجزاء الجسم المراد تصويرها بالأشعة وتحديد طبيعة الصورة الشعاعية ومواصفات الأشعة.', '  تثبيت ألواح من الرصاص لحماية الأجزاء الجسدية التي يجب أن لاتتعرض للأشعة، وتوجيه وضبط أجهزة التصوير واختيار مدة وشدة التعرض للأشعة والتقاط الصور الشعاعية.', '  إظهار وتثبيت الصور الشعاعية وتثبيت المعلومات الأساسية عليها وتقديمها لطبيب أخصائي الأشعة.', '  إعداد وتقديم تقارير العمل وتوثيقها وحفظها.', '  ']",مجمع الهلال الفضي الطبي العام,15-1500,خاص,صغيرة فئة ب,الخدمات الطبية بالمصحات المتخصصة ومراكز إعادة التأهيل والصحة الوقائية,nan,المنطقة الشرقية,ATH THUQB...,"['Salary', '5000.0']",دوام كامل,0 / 1,20202026311328,0 Years,F
فني دعم تقنية معلومات,03/05/1444,['تقديم الدعم والمساعدة الفنية للموظفين والعملاء الذين تواجههم مشاكل في تقنية المعلومات ومساندتهم، وتحديد الأدوات والمستلزمات المطلوبة للقيام بأعمال دعم الموظفين والعملاء وحل المشاكل التي تواجههم، وتوفير المعلومات الفنية الخاصة بأجهزة ونظم وبرامج تقنية المعلومات، وحفظ البيانات والمعلومات المتعلقة بعمليات الدعم الفني وإعداد وتقديم تقارير العمل.'],"['   تقديم الدعم والمساعدة الفنية للموظفين والعملاء الذين تواجههم مشاكل في تقنية المعلومات ومساندتهم والرد على أسئلتهم واستفساراتهم بهدف حل المشاكل التقنية التي تواجههم.', '  تحديد الأدوات والمستلزمات المطلوبة للقيام بأعمال دعم الموظفين والعملاء وحل المشاكل التي تواجههم حسب السياسات والإجراءات المنظمة وتحديد ما ينقص منها ورفعها إلى المعنيين لتأمينها.', '  توفير المعلومات الفنية الخاصة بأجهزة ونظم وبرامج تقنية المعلومات والرجوع إلى أخصائيي تقنية المعلومات عندما تكون المشكلة كبيرة.', '  حفظ البيانات والمعلومات المتعلقة بكافة أعمال وعمليات الدعم الفني المقدمة والعمل على تبويبها وترتيبها بالاستناد إلى الممارسات المعتمدة.', '  إعداد وتقديم تقارير العمل وتوثيقها وحفظها.', '  ']",شركة الدور التنفيذية لخدمات الاعاشة,1-2112699,خاص,صغيرة فئة ب,تشغيل خدمات تقديم الطعام في المرافق الرياضية وما شابهها على أساس إمتياز محدد,"['Language data', 'الانجليزي ', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 4,20202026311252,0 Years,F
صيدلي,03/05/1444,['دراسة التركيبات الدوائية للعقاقير والعلاجات وتحضيرها، وتحديد احتياجات الصيدلية من الادوية والتجهيزات وتوفيرها وتنظيم إجراءات تخزينها، وتجهيز وتنظيم إجراءات صرف الأدوية، وإعداد الوثائق والتقارير الطبية المتعلقة بأعمال الصيدلة وحفظها'],"['   دراسة مواصفات وتركيبات الادوية والعقاقير والمواد الصيدلانية وتحضيرها وصرفها بحسب الوصفة الطبية ودراسة وتحديد الآثار الجانبية لاستخدامها وتأثيراتها في الإنسان', '  دراسة احتياجات الصيدلية وتحديد أنواع وكميات الأدوية والعلاجات ومواصفاتها وإعداد وتدقيق طلبيات الشراء ومتابعة توفيرها واستلامها وتخزينها بحسب سجلات موجودات الصيدلية وفق الأسس الصيدلانية', '  دراسة الوصفات الطبية وتجهيز الدواء قبل صرفه للمستهلك وإرشاد المريض بشأن طريقة الاستعمال والى الآثار الجانبية المحتملة', '  تطوير أساليب وإجراءات العمل ومواكبة التطورات في مجال الصيدلة', '  إعداد الوثائق والتقارير الطبية المتعلقة بالصيدلة وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المنظمة، وضمان تطبيق مبادئ وقواعد السلامة العامة أثناء القيام بمختلف أعمال الصيدلة', '  ']",شركة ليفا الطبية (شركة شخص واحد),1-2419390,خاص,صغيرة فئة أ,البيع بالتجزئة لمستحضرات التجميل وصابون الزينة,nan,الرياض,AR RIYADH...,"['Salary', '8000.0']",دوام كامل,0 / 2,20202026311139,0 Years,both
معلم ثانوي اجتماعيات,03/05/1444,['تخطيط وتحضير الدروس المتعلقة بعلوم الاجتماعيات لطلاب المرحلة الثانوية وتدريسهم وتوجيههم ومتابعتهم'],"['   تحضير الدروس الخاصةبعلوم الاجتماعيات  وفقاً للمناهج المعتمدة ووفقاً للرؤية الأكاديمية للمدرسة.', '  تدريس طلاب المرحلة الثانوية وتيسير المناقشات المختلفة في الصف، وتقديم الواجبات المنزلية وإدارة سلوك الطلبة داخل الصف.', '  تعميم أهداف واضحة للتعلم، وإعداد الاختبارات والواجبات، وإدارتها، ووضع الدرجات لتقييم التقدم المحرز لدى الطلاب.', '  تقديم المشورة للطلاب وأولياء أمورهم؛ لتحسين أدائهم وسلوكهم، وتحديد الطلاب الذين يتطلبون المزيد من الاهتمام، وتحديد الطرق المطلوبة لتلبية احتياجاتهم.', '  تسجيل الحضور والدرجات وأداء التلاميذ، كلٍّ على حدةٍ، وإعداد تقارير بذلك، وحضور اجتماعات الموظفين، والتنسيق مع الزملاء المدرسين والمسؤولين ومساعدي المدرسين.', '  ']",شركه الرشد التعليميه المحدوده,1-222221,خاص,متوسطة فئة ب,التعليم الابتدائي للطلاب بمنهج وطني,"['Language data', 'العربية', 'محترف', 'Professional certificate \\ License data', 'بكالوريوس', 'ضروري']",الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026311081,0 Years,M
معلم ثانوي كيمياء,03/05/1444,['تدريس طلاب المرحلة الثانوية في مجال الكيمياء، ووضع خطط الدروس وتقديم التعليمات الفردية والجماعية، ودعم تنمية الطلاب.'],"['   وضع خطط الدروس وفقًا لموضوع المنهج الدراسي والرؤية الأكاديمية للمدرسة، واختيار المصادر، وتصميم المواد التعليمية والدروس وغيرها من طرق التدريس والمحتوى.', '  تدريس الطلاب في مجال الكيمياء، وتقديم الدروس الفردية والجماعية، وتيسير المناقشات، وإعطاء الواجبات، وتنظيم الرحلات والأنشطة العملية، وإدارة سلوك الطلبة وتفاعلاتهم.', '  تعميم أهداف واضحة للتعلم، وإعداد الاختبارات والواجبات وإدارتها ووضع الدرجات لتقييم التقدم المحرز لدى الطلاب.', '  تقديم المشورة للطلاب وأولياء أمورهم لتحسين أدائهم وسلوكهم، وتحديد الطلاب الذين يتطلبون المزيد من الاهتمام وتحديد الطرق المطلوبة لتلبية احتياجاتهم.', '  تسجيل الحضور والدرجات وأداء الطلاب كلٍ على حده وإعداد تقارير بذلك، وحضور اجتماعات الموظفين والتنسيق مع الزملاء المدرسين والمسؤولين ومساعدي المدرسين.', '  ']",شركه الرشد التعليميه المحدوده,1-222221,خاص,متوسطة فئة ب,التعليم الابتدائي للطلاب بمنهج وطني,"['Language data', 'العربية', 'محترف', 'Professional certificate \\ License data', 'بكالوريوس', 'ضروري']",الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026311060,0 Years,M
فني جودة,03/05/1444,['جمع عينات المنتجات وفحصها وتحليلها، ومراجعة سياسات وإجراءات الجودة ومراقبتها.'],"['   جمع عينات تصنيع من مراحل مختلفة من عملية التصنيع مثل المنتجات تحت التصنيع والمنتجات النهائية.', '  إجراء فحوصات لعينات من منتجات عملية التصنيع، والتحقق من الالتزام بمعايير الجودة المطلوبة وتوثيق النتائج التي يتم التوصل إليها.', '  تحديد مصادر العيوب، ووضع التوصيات للتخفيف من آثارها، وتحديث نوعية السياسات والإجراءات وفقاً لذلك.', '  الحفاظ على الخبرات الفنية وتحديث المعرفة حول اتجاهات القطاع واللوائح الحكومية.', '  ', '  ']",الشركة العربية السعودية لصناعة مواد التعبئة سابن,1-2490485,خاص,متوسطة فئة ج,صناعة الأوعية المعدنية المستخدمة في نقل وتعبئة السلع ، يشمل ( البراميل وحاويات النفايات والمخلفات والدلاء والصناديق والعلب ... الخ ),nan,المنطقة الشرقية,AD DAMMAM...,"['Salary', '5000.0']",دوام كامل,0 / 1,20202026311029,0 Years,both
مدخل بيانات,03/05/1444,['مراجعة استمارات البيانات وتدقيقها، وإدخال وتخزين البيانات والمعلومات بجهاز الحاسب الالي'],"['   مراجعة الاستمارات المتعلقة بالبيانات وترميزها والتأكد من اكتمالها', '  إدخال البيانات والمعلومات في الحاسب الالي بحسب البرامج والنظم الاحصائية، ومراجعة رموز التصنيف للبيانات والمعلومات المدخلة، وتصويب الاخطاء فيها', '  تخزين المعلومات المدخلة', '  عمل النسخ الاحتياطية اللازمة للبيانات والمعلومات المخزنة', '  التقيد بالتعليمات المتعلقة بسرية البيانات والمعلومات', '  ']",مكتب سريع للخدمات العامة,20-1949023,خاص,صغيرة فئة أ,أنشطة تعقيب المعاملات,"['Skill data', 'مهارات التواصل', 'محترف', 'Language data', 'الانجليزي', 'محترف']",الباحة,AL AQIQ...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026310910,0 Years,F
مساعد طب بيطري,03/05/1444,['تجهيز الحيوان لإجراء عمليات التلقيح والتوليد والعمليات الجراحية باشراف الطبيب البيطري،وجمع العينات المخبرية وعينات من لحوم الحيوانات المذبوحة،وتنفيذ خطط وبرامج السيطرة على انتقال الامراض المشتركة، وإعداد وتقديم تقارير العمل.'],"['   تجهيز الحوان لإجراء عمليات التلقيح والتوليد والعمليات الجراحية باشراف الطبيب البيطري،وتجهيز الحقن لعمليات التلقيح،وتجهيز الحيوانات للعمليات الجراحية وتخديرها وتحضير العلاجات والادوية اللازمة', '  اعطاء اللقاحات والمطاعيم المختلفة للحيوانات بحسب برنامج الطبيب البيطري', '  جمع العينات المخبرية اللازمة لإجراء التحاليل المخبرية للحيوانات،وجمع عينات لحوم ابلحيوانات والطيور المذبوجة وتجهيزها لفحص سلامة اللحوم وصلاحيتها للاستهلاك البشري', '  جمع المعلومات المتعلقة بالامراض التي تنتقل من الحيوان إلى الانسان وجمع المعلومات لإعداد الاحصاءات بشان الامراض المشتركة والامراض السارية والمعدية ودرجة انتشارها وتنفيذ حملات تثقيف وتوعية مربي الحيوانات', '  إعداد وتقديم تقارير العمل وتوثيقها وحفظها', '  ']",شركة مجموعة زيد الحسين واخوانة للمقاولات,1-280523,خاص,عملاقة,الإنشاءات العامة للمباني السكنية,nan,الرياض,AR RIYADH...,"['Salary', '5500.0']",دوام كامل,0 / 1,20202026310906,0 Years,both
بائع مأكولات ومشروبات,02/05/1444,['بيع المأكولات و المشروبات للزبائن، وتوفير المعلومات المتعلقة بالمأكولات و المشروبات و أسعارها، وتولي أمور الدفع وتلقي المدفوعات من الزبائن.'],"['   بيع المأكولات و المشروبات للزبائن.', '  توفير المعلومات المتعلقة بالمأكولات و المشروبات، والأسعار.', '  مراقبة مستويات المخزون والحفاظ على ترتيب المتجر، وإصدار طلبات لشراء المنتجات، والتعامل مع المنتجات الواردة.', '  تولي أمور الدفع وتلقي المدفوعات من الزبائن، ومعالجة طلبات استبدال المنتجات، والمرتجعات وفقاً للسياسة المتبعة.', '  ', '  ']",شركة الأطعمة الفاخرة المحدودة,4-1988441,خاص,صغيرة فئة ب,المطاعم مع الخدمة,nan,المنطقة الشرقية,AD DAMMAM...,"['Salary', '4500.0']",دوام كامل,0 / 5,20202026310730,0 Years,both
موظف استقبال,02/05/1444,['استقبال الزوار والعملاء وتحديد مطالبهم وتوجيههم إلى المرجع المختص واستقبال المكالمات الهاتفية والرد على الاستفسارات او التحويل إلى المرجع المختص وحفظ السجلات الخاصة بالزوار'],"['   استقبال الزوار والعملاء والترحيب بهم وتحديد مطالبهم وتزويدهم بالمعلومات المطلوبة، وإعلام المرجع المعني عن المراجعين والعملاء وارشادهم اليه', '  استقبال المكالمات الهاتفية والرد على الاستفسارات او التحويل إلى المرجع المختص', '  إجراء الاتصالات الداخلية للحصول على المعلومات', '  ترتيب مواعيد المقابلات ,تسجيل اسماء المراجعين والعملاء في السجلات الخاصة بذلك', '  الالتزام التام بالأدلة الإجرائية وبالسياسات والإجراءات المنظمة والتقيد بها.', '  ']",شركة مركز خدمات الدانه الحديثه للولائم والحفلات,15-1592272,خاص,صغيرة فئة ب,تشغيل المقاصف والكفتيريات على أساس إمتياز محدد ، يشمل ( المقاصف والكفتيريات في المصانع والمكاتب والمستشفيات والمدارس .. الخ ),"['Skill data', 'التعامل مع الزبائن بلباقة وسلاسة', 'محترف']",المنطقة الشرقية,DHAHRAN...,"['Salary', '4000.0']",دوام كامل,0 / 3,20202026310622,0 Years,F
مهندس معماري داخلي,01/05/1444,['تصميم التعديلات الهيكلية والأثاث والتجهيزات بشكل يتناسب مع المساحات الداخلية، والمساعدة في مباشرة أعمال الإنشاءات.'],"['   وضع التصاميم لمشاريع الإنشاءات الداخلية والديكورات، وإدارة فريق التصميم في اختيار المواد وتطوير المواصفات.', '  إعداد نماذج بالحجم الطبيعي والرسومات والنماذج الرقمية وعرضها على العميل وإجراء التعديلات حسب الرغبة.', '  المساعدة في اختيار المقاولين واختيار المواد والإشراف على التنفيذ.', '  تقديم الدعم لمشروعات تنفيذ التصميمات، ومباشرة تنفيذ التصميم من قِبل المقاول.', '  إعداد الوثائق والتقارير المتخصصة بالأعمال والمشروعات الهندسية ونسب تقدمها وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة', '  ']",شركة رتاج المسكن المحدودة (شركة شخص واحد),1-2444577,خاص,صغيرة فئة ب,أعمال وتركيب الديكورات المختلفة,nan,الرياض,AR RIYADH...,"['Salary', '4000.0', 'Benefits', 'ستكون مزايا اخرى في حال اتقان العمل']",دوام كامل,0 / 1,20202026310544,0 Years,both
مطور مواقع الكترونية,30/04/1444,['تحليل احتياجات العميل من الموقع الإلكتروني، و دراسة الموقع الإلكتروني الحالي وإجراءات تطويره، وإعداد خطة تطويره وتحديثه وتنفيذها واختبار الموقع والتأكد من خلوه من المشكلات الفنية وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال تطوير المواقع الإلكترونية وعرضها وحفظها.'],"['   إجراء التحاليل بهدف فهم احتياجات العميل ومتطلباته وضمان مواءمة الموقع الإلكتروني معه.', '  إجراء الدراسات والتحاليل المتخصصة على الموقع الإلكتروني الحالي وإبداء الملاحظات التصميمية والتقنية وتنفيذها عليه والعمل على بلورتها تمهيداً لتحسينه وتطويره.', '  إعداد خطة تطوير وتحديث الموقع الإلكتروني من الناحية التصميمية والتقنية من خلال اتباع أحدث الأساليب وأجمل التصاميم المتوافرة بطريقة سلسة وممنهجة.', '  اختبار الموقع والتأكد من خلوه من أي مشاكل فنية أو تقنية بعد تطويره والعمل على حلها حال تواجدها.', '  إعداد الوثائق والتقارير المتخصصة والمتعلقة بتطوير المواقع الإلكترونية وتقديم التوصيات المناسبة والحلول الملائمة وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,1-169123,خاص,عملاقة,التسجيل لتقديم خدمات الحوسبة السحابية,nan,المنطقة الشرقية,HAFAR AL ...,"['Salary', '8500.0']",دوام كامل,0 / 1,20202026310455,4 Years,both
مطور برامج,30/04/1444,['تصميم حلول البرامج وتطويرها وتثبيتها وصيانتها حسب متطلبات العملاء.'],"['   استلام خطط التصميم وبنيته وفهمها، وإعداد خطط لكتابة الأكواد البرمجية واختبارها، وتحديد الإطار الزمني ومراحل التنفيذ.', '  تطوير الأكواد البرمجية باستخدام لغة البرمجة المناسبة، وتجميعها في البرامج التنفيذية.', '  تنفيذ الملفات المبرمجة في بيئات مختلفة خاضعة للتحكم، وضمان الالتزام بالمعايير.', '  نشر البرامج على أجهزة العملاء وتنفيذها، واختبار المنتج وإجراء التشغيل التجريبي عليه.', '  توثيق إجراءات إنشاء الأكواد البرمجية خلال عملية البرمجة، وتسهيل التحديثات والتغييرات المستقبلية.', '  ']",شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,1-169123,خاص,عملاقة,التسجيل لتقديم خدمات الحوسبة السحابية,nan,المنطقة الشرقية,HAFAR AL ...,"['Salary', '8500.0']",دوام كامل,0 / 1,20202026310452,4 Years,both
أخصائي مبيعات,03/05/1444,['وضع سياسات البيع ومتابعة تنفيذها وتقييم النتائج وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال المبيعات وعرضها وحفظها.'],"['   دراسة ومتابعة تطورات السوق وتحديد وتطوير الأهداف التسويقية وطرق البيع وتقدير حجم المبيعات المتوقع وترجمة الأهداف إلى خطط بيعية.', '  اقتراح سياسات البيع، ومتابعة تنفيذ السياسات والطرق البيعية ووضع وتقييم البرامج الترويجية.', '  التواصل مع الزبائن وتحديد مشكلاتهم ومتابعة المنافسين وبرامجهم البيعية لتجنب المخاطر المستقبلية.', '  تقييم نتائج أعمال مندوبي البيع، وتقييم مدى تحقيق الأهداف البيعية واقتراح الخطط والإجراءات التصحيحية.', '  إعداد الوثائق والتقارير المتخصصة والمتعلقة بالمبيعات وتقديم التوصيات المناسبة والحلول الملائمة وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة التقنية الأساسية للتجارة,1-1460774,خاص,صغيرة فئة ب,صيانة برمجيات وتصميم صفحات المواقع,"['Skill data', 'البيع', 'محترف', 'Language data', 'الأنجليزيه', 'محترف', 'Professional certificate \\ License data', 'ادارة اعمال', 'مفيد']",الرياض,AR RIYADH...,"['Salary', '5500.0', 'Benefits', 'تأمين طبي - اجازه سنويه - مكافئات سنويه - دورات تدريبيه']",دوام كامل,0 / 2,20202026310442,2 Years,both
أخصائي إدارة شبكات,30/04/1444,['تطوير أجهزة الشبكة ونظم التشغيل والبرامج وتركيبها/تثبيتها وصيانتها، وضمان الوصول إلى الشبكة والحفاظ على أمنها، وتقديم الدعم للمستخدمين.'],"['   تركيب/تثبيت أجهزة الشبكة ونظم التشغيل والبرامج، وترقيتها وتقديم الدعم اللازم.', '  مراقبة الشبكة، وتشخيص المشكلات وإيجاد لحلو لها، وإدارة استخدام الشبكة.', '  إدارة مستخدمي الشبكة وتوفير حقوق الوصول والحقوق الأخرى ذات الصلة، وإنشاء بيئة المستخدم، وبناء الدلائل، والبرامج على خوادم الملفات.', '  اتباع إجراءات وسياسات أمن المعلومات.', '  تقديم المشورة والخبرة الفنية للمستخدمين النهائيين بخصوص تصميم الشبكة واستخدامها وأمنها، وتقديم الدعم الفني للمستخدمين.', '  ']",شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,1-169123,خاص,عملاقة,التسجيل لتقديم خدمات الحوسبة السحابية,nan,المنطقة الشرقية,HAFAR AL ...,"['Salary', '10000.0']",دوام كامل,0 / 1,20202026310439,4 Years,both
بائع مأكولات ومشروبات,30/04/1444,['بيع المأكولات و المشروبات للزبائن، وتوفير المعلومات المتعلقة بالمأكولات و المشروبات و أسعارها، وتولي أمور الدفع وتلقي المدفوعات من الزبائن.'],"['   بيع المأكولات و المشروبات للزبائن.', '  توفير المعلومات المتعلقة بالمأكولات و المشروبات، والأسعار.', '  مراقبة مستويات المخزون والحفاظ على ترتيب المتجر، وإصدار طلبات لشراء المنتجات، والتعامل مع المنتجات الواردة.', '  تولي أمور الدفع وتلقي المدفوعات من الزبائن، ومعالجة طلبات استبدال المنتجات، والمرتجعات وفقاً للسياسة المتبعة.', '  ', '  ']",شركة سول المتقدمة المحدودة,20-1805185,خاص,متوسطة فئة ج,المطاعم مع الخدمة,nan,الباحة,AL BAHA...,"['Salary', '4500.0']",دوام كامل,0 / 4,20202026310435,0 Years,both
